Hostname|Last Known Location|IPv4|IPv6|Operating System|Physical/Virtual Machine|Owner|Administrator|U of A Tag Number|Make/Model|Processor|RAM (GB)|Storage Space (GB)|GPU|Serial Number|Status|Rack Number|SRIT Access|Power Up|Support Team|Department|Comments
RAC_|"""unknown"""|142.244.185.224||Remote Access Controller|Physical||||Dell Inc. iDRAC||||||Active|||||Sci-Servers|Linux pd-srv-idrac-04 2.6.30 #1 Sat Mar 10 02:59:38 UTC 2012 sh4a
RAC_|"""unknown"""|142.244.185.225||Remote Access Controller|Physical||||Dell Inc. iDRAC||||||Active|||||Sci-Servers|Linux pd-srv-idrac-05 2.6.30 #1 Sat Mar 10 02:59:38 UTC 2012 sh4a
PD-SRV-FMP-02||142.244.185.228||Windows|Physical|STS|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
PD-DSP-RDS-07||142.244.185.229||Windows|Physical|WORKGROUP|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
fs-s-vmb-03||142.244.185.23||Vmware server|Physical||||Dell Inc. PowerEdge R710||||||Active|||||Sci-Servers|
abmi-dell||142.244.185.230||Vmware server|Physical||||Dell Inc. PowerEdge R720||||||Active|||||Sci-Servers|
dali||142.244.185.231||Vmware server|Physical||||Supermicro H8DGU||||||Active|||||Sci-Servers|
ABMI-FS-SRV||142.244.185.232||Windows|Physical|ABMI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
DALI-SRV||142.244.185.233||Windows|Physical|BIO-SCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
pd-srv-geo-01|Sitting on the Dock of the Bay|142.244.185.234||Linux Server|Physical||||VMware: Inc. Apache/2.4.7 (Ubuntu)||||||Active|||||Sci-Servers|
snipper|Unknown|142.244.185.235||Linux Server|Physical||||Dell Inc. ||||||Active|||||Sci-Servers|Linux snipper.biology.ualberta.ca 2.6.32-696.13.2.el6.x86_64 #1 SMP Thu Oct 5 21:22:16 UTC 2017 x86_64
xibo-srv||142.244.185.237||Linux Server|Physical|||| Apache/2.2.16 (Debian)||||||Active|||||Sci-Servers|
FS-S-WIN7-04||142.244.185.238||Windows|Physical|FACSCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
pd-srv-er-01||142.244.185.24||Linux Server|Physical||||VMware: Inc. ||||||Active|||||Sci-Servers|
fs-s-drc-08||142.244.185.240||Remote Access Controller|Physical||||Dell Mbedthis-Appweb/2.4.2||||||Active|||||Sci-Servers|
fs-s-drc-09||142.244.185.241||Remote Access Controller|Physical||||Dell Mbedthis-Appweb/2.4.2||||||Active|||||Sci-Servers|
montanelk||142.244.185.242||Linux Server|Physical||||VMware: Inc. cloudflare-nginx||||||Active|||||Sci-Servers|
FS-D-WIN7-01||142.244.185.246||Windows|Physical|FACSCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
MOOSE||142.244.185.247||Linux Server|Physical|BIO-SCI||| Apache/2.2.22 (Debian) PHP/5.4.4-14+deb7u11 mod_python/3.3.1 Python/2.7.3 mod_ssl/2.2.22 OpenSSL/1.0.1e||||||Active|||||Sci-Servers|BIO-SCI\MOOSE 4.9
FS-S-CCIS-01||142.244.185.248||Windows|Physical|FACSCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
FS-S-CCIS-03||142.244.185.249||Windows|Physical|FACSCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
saig-uat|Sitting on the Dock of the Bay|142.244.185.254||Linux Server|Physical||||VMware: Inc. ||||||Active|||||Sci-Servers|
iolaus||142.244.185.26||Linux Server|Physical||||VMware: Inc. Apache/2.2.16 (Debian)||||||Active|||||Sci-Servers|
bioinfor||142.244.185.28||Linux Server|Physical||||Super Micro Computer: Inc. Apache/2.2.15 (CentOS)||||||Active|||||Sci-Servers|
BS-IBMBLD4-LEWI||142.244.185.29||Windows|Physical|BIO-SCI|||IBM IBM eServer BladeCenter HS12 -[8028AC1]-||||||Active|||||Sci-Servers|
knossos||142.244.185.31||Linux Server|Physical|||| Apache/2.4.6 (CentOS) PHP/5.4.16||||||Active|||||Sci-Servers|
chola||142.244.185.32||Linux Server|Physical|||| ||||||Active|||||Sci-Servers|
hittite||142.244.185.34||Linux Server|Physical|||| ||||||Active|||||Sci-Servers|
FS-S-FM14-01||142.244.185.38||Windows|Physical|FACSCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
ABMI-SHAREPOINT||142.244.185.39||Windows|Physical|abmi|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
promise1840||142.244.185.40||Webserver|Physical|||| ||||||Active|||||Sci-Servers|
in-vm-recov-01||142.244.185.41||Unknown|Physical|||| ||||||Active|||||Sci-Servers|
dw-proxmox1||142.244.185.42||Linux Server|Physical||||ASUSTek COMPUTER INC. ||||||Active|||||Sci-Servers|
OPTIMUS||142.244.185.43||Linux|Physical|WISHARTLAB||| ||||||Active|||||Sci-Servers|
dw-gw1||142.244.185.44||Linux Server|Physical||||Dell Inc. nginx||||||Active|||||Sci-Servers|
srv002088||142.244.185.48||Linux|Physical|||| Apache/2.2.15 (CentOS)||||||Active|||||Sci-Servers|
BIO-LISTSERVER||142.244.185.50||Windows|Physical|BIO-SCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
wks80920||142.244.185.51||Linux|Physical|||| Apache/2.0.54 (Fedora)||||||Active|||||Sci-Servers|
DALI-VDESKTOP-1||142.244.185.52||Windows|Physical|BIO-SCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
fs-s-veeaml-01||142.244.185.54||Linux|Physical|||| ||||||Active|||||Sci-Servers|
BIO-COOKE||142.244.185.56||Windows|Physical|BIO-SCI|||Dell Inc. PowerEdge R730xd||||||Active|||||Sci-Servers|
FS-S-WSUS-01||142.244.185.57||Windows|Physical|FACSCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
FS-S-DEV01||142.244.185.58||Windows|Physical|FACSCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
ABMI-APPS1||142.244.185.60||Linux Server|Physical|WORKGROUP|||VMware: Inc. Apache/2.2.22 (Ubuntu)||||||Active|||||Sci-Servers|
BOREAL||142.244.185.61||Windows|Physical|BIO-SCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|boreal
BIOFILER||142.244.185.63||Linux Server|Physical|BIO-SCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
chem-thistle-head||142.244.185.64||Linux Server|Physical|||| ||||||Active|||||Sci-Servers|
RAC_7WXQDH1|Unknown|142.244.185.65||Remote Access Controller|Physical||||Dell Apache||||||Active|||||Sci-Servers|Dell Out-of-band SNMP Agent for Remote Access Controller
chem-thistle-drac-02||142.244.185.66||Remote Access Controller|Physical||||Dell Apache||||||Active|||||Sci-Servers|
RAC_8MH0FH1|Unknown|142.244.185.67||Webserver|Physical|||| ||||||Active|||||Sci-Servers|Dell Out-of-band SNMP Agent for Remote Access Controller
chem-thistle-drac-04||142.244.185.68||Remote Access Controller|Physical||||Dell Apache||||||Active|||||Sci-Servers|
RAC_4MH0FH1|Unknown|142.244.185.69||Remote Access Controller|Physical||||Dell Apache||||||Active|||||Sci-Servers|Dell Out-of-band SNMP Agent for Remote Access Controller
RAC_3MH0FH1|Unknown|142.244.185.70||Remote Access Controller|Physical||||Dell Apache||||||Active|||||Sci-Servers|Dell Out-of-band SNMP Agent for Remote Access Controller
RAC_7MH0FH1|Unknown|142.244.185.71||Switch|Physical||||Dell Inc. Apache||||||Active|||||Sci-Servers|Dell Out-of-band SNMP Agent for Remote Access Controller
arabinose||142.244.185.72||Linux Server|Physical|||| Apache/2.2.3 (CentOS)||||||Active|||||Sci-Servers|
cucumber||142.244.185.73||Linux Server|Physical|||| ||||||Active|||||Sci-Servers|
sally||142.244.185.74||Linux Server|Physical|WORKGROUP|||Intel Corporate Apache||||||Active|||||Sci-Servers|
CHEM-SOLAR||142.244.185.76||Windows|Physical|WORKGROUP|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
HAAS8BAY||142.244.185.78||Linux|Physical|NAS||| http server 1.0||||||Active|||||Sci-Servers|NAS\HAAS8BAY 4.9
CHEM-XEROX-01||142.244.185.79||Windows|Physical|WORKGROUP|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|chem-xerox-01
GRAND-CENTRAL-F||142.244.185.82||Windows|Physical|WORKGROUP|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
DC1-BIOSCI||142.244.185.83||Windows|Physical|BIO-SCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
seismic||142.244.185.84||Linux Server|Physical||||VMware: Inc. Apache/2.4.7 (Ubuntu)||||||Active|||||Sci-Servers|
GISSERVER||142.244.185.86||Windows|Physical|BIO-SCI|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
NETBOTZ||142.244.185.87||Windows|Physical|WORKGROUP|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
VINEBROOKE-SRV||142.244.185.89||Windows|Physical|BIO-SCI|||ASUSTeK Computer INC. KCMA-D8||||||Active|||||Sci-Servers|
researchweb|Sitting on the Dock of the Bay|142.244.185.90||Linux Server|Physical||||VMware: Inc. Apache/2.2.22 (Ubuntu)||||||Active|||||Sci-Servers|
fs-s-vmb-01||142.244.185.91||Vmware server|Physical||||Dell Inc. PowerEdge 2950||||||Active|||||Sci-Servers|
fs-s-vmb-02||142.244.185.92||Vmware server|Physical||||Dell Inc. PowerEdge 2950||||||Active|||||Sci-Servers|
FS-S-EQLHIT-01||142.244.185.93||Linux|Physical|WORKGROUP||| Apache-Coyote/1.1||||||Active|||||Sci-Servers|WORKGROUP\FS-S-EQLHIT-01 4.9
ABMI-DC||142.244.185.95||Windows|Physical|abmi|||VMware: Inc. VMware Virtual Platform||||||Active|||||Sci-Servers|
EAS-MODEL-02||142.244.185.96||Windows|Physical|STS|||Dell Inc. PowerEdge R630||||||Active|||||Sci-Servers|
FS-S-EQL-01|L2-282 CCIS Rack 1-03|142.244.185.97||Webserver|Physical||||EqualLogic Rapid Logic/1.1||||||Active|||||Sci-Servers|PS4000XV
FS-S-EQL-02|L2-282 CCIS Rack 1-03|142.244.185.99||Webserver|Physical||||EqualLogic Rapid Logic/1.1||||||Active|||||Sci-Servers|PS4000E
WDMYCLOUD||142.244.187.119||NAS|Physical|WORKGROUP||| Apache||||||Active|||||Sci-Undergrad|
spx-123101sp0215023||142.244.187.50||Webserver|Physical|||| Apache/2.2.21 (Unix)||||||Active|||||Sci-Undergrad|
spx-123101sp0215029||142.244.187.51||Webserver|Physical|||| Apache/2.2.21 (Unix)||||||Active|||||Sci-Undergrad|
spx-123101sp0215028||142.244.187.52||Webserver|Physical|||| Apache/2.2.21 (Unix)||||||Active|||||Sci-Undergrad|
spx-123101sp0215003||142.244.187.53||Webserver|Physical|||| Apache/2.2.21 (Unix)||||||Active|||||Sci-Undergrad|
spx-123101sp0215020||142.244.187.55||Webserver|Physical|||| Apache/2.2.21 (Unix)||||||Active|||||Sci-Undergrad|
142||142.244.187.56||Webserver|Physical|||| Apache/2.2.21 (Unix)||||||Active|||||Sci-Undergrad|
142||142.244.187.57||Webserver|Physical|||| Apache/2.2.21 (Unix)||||||Active|||||Sci-Undergrad|
142||142.244.187.58||Webserver|Physical|||| Apache/2.2.21 (Unix)||||||Active|||||Sci-Undergrad|
spx-123101sp0215019||142.244.187.59||Webserver|Physical|||| Apache/2.2.21 (Unix)||||||Active|||||Sci-Undergrad|
3JV8GQ1||142.244.187.64||Windows|Physical|FACSCI|||Dell Inc. OptiPlex 990||||||Active|||||Sci-Undergrad|Dell Optiplex 990 * Career Centre
NPI41A20B||142.244.187.65||Printer|Physical||||Hewlett-Packard HP LaserJet Professional P1606dn||||||Active|||||Sci-Undergrad|HP ETHERNET MULTI-ENVIRONMENT
DG3V77C1||142.244.187.68||Windows|Physical|WORKGROUP|||Dell Inc. ||||||Active|||||Sci-Undergrad|
142||142.244.187.71||Unknown|Physical|||| ||||||Active|||||Sci-Undergrad|
MACPRO-CFEDDF||142.244.190.100||Linux|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|WORKGROUP\MACPRO-CFEDDF 4.9
NPI01D44D||142.244.190.101||Printer|Physical||||Hewlett-Packard HP LaserJet 400 color M451dw||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT:SN:CNBJ202571:FN:Q5024CP:SVCID:22233:PID:HP LaserJet 400 color M451dw
abmi00190||142.244.190.102||Unknown|Physical|||| ||||||Active|||||Sci-Grad-Research|
P1606dn||142.244.190.104||Printer|Physical||||Hewlett-Packard HP LaserJet Professional P1606dn||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT
pavan-pc||142.244.190.106||Webserver|Physical|||| Apache/2.4.18 (Ubuntu)||||||Active|||||Sci-Grad-Research|
alexander-pc||142.244.190.108||Webserver|Physical|||| ||||||Active|||||Sci-Grad-Research|
KLASSEN-NAS||142.244.190.111||Linux|Physical|WORKGROUP||| nginx||||||Active|||||Sci-Grad-Research|
KALPANA||142.244.190.112||NAS|Physical|WORKGROUP||| Apache/2.4.18 (Ubuntu)||||||Active|||||Sci-Grad-Research|
MACPRO-05EEBA||142.244.190.115||NAS|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|WORKGROUP\MACPRO-05EEBA 4.9
bs-c5047-temp3||142.244.190.12||Webserver|Physical|||| ||||||Active|||||Sci-Grad-Research|
pd3c07544ac9fc||142.244.190.122||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
Klassen-P2035||142.244.190.123||Printer|Physical|WORKGROUP|||Hewlett-Packard HP Jetdirect||||||Active|||||Sci-Grad-Research|ETHERNET MULTI_ENVIRONMENT:ROM H_07_19:JETDIRECT EX:JD28:EEPROM 3.51
DIEGO||142.244.190.125||Windows|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|
WKS73754||142.244.190.125||Windows|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|
142||142.244.190.132||Webserver|Physical|||| ||||||Active|||||Sci-Grad-Research|
CHIRP||142.244.190.133||Windows|Physical|JAEGER|||Dell Inc. ||||||Active|||||Sci-Grad-Research|
CHIRP||142.244.190.133||NAS|Physical|JAEGER|||Dell Inc. ||||||Active|||||Sci-Grad-Research|
ck-mba-iii||142.244.190.139||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
142||142.244.190.140||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
pd0015176680c4||142.244.190.142||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
BRN001BA97F9DF9||142.244.190.144||Printer|Physical||||Brother Industries: Ltd. Brother HL-2270DW series||||||Active|||||Sci-Grad-Research|Brother NC-8200h: Firmware Ver.1.06  (11.02.07):MID 84UC07
aerodaqtyl||142.244.190.147||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
saig06||142.244.190.153||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
WKS73776||142.244.190.156||NAS|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|WORKGROUP\WKS73807 4.9
cryomechpi||142.244.190.161||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
desktop-frc6qad||142.244.190.163||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
bs-agood-pc2||142.244.190.168||Unknown|Physical|||| ||||||Active|||||Sci-Grad-Research|
ck-mba-iii||142.244.190.169||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
48hjp22||142.244.190.171||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
saig06||142.244.190.174||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
alh-ccis||142.244.190.175||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
NPIAB8708|HP Color LaserJet CM2320fxi MFP|142.244.190.178||Printer|Physical|WORKGROUP|||Hewlett-Packard HP Color LaserJet CM2320fxi MFP||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT:SN:CNF9B6CH45:FN:NN50QF1:SVCID:20241:PID:HP Color LaserJet CM2320fxi MFP
wheeler||142.244.190.180||Linux|Physical|||| Apache||||||Active|||||Sci-Grad-Research|
pam-pc1||142.244.190.181||Unknown|Physical|||| Microsoft-IIS/10.0||||||Active|||||Sci-Grad-Research|
eric||142.244.190.184||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
KALPANA||142.244.190.187||NAS|Physical|WORKGROUP||| Apache/2.4.18 (Ubuntu)||||||Active|||||Sci-Grad-Research|
gforce||142.244.190.188||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
PD0023DF859CAC||142.244.190.190||Linux|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|WORKGROUP\PD0023DF859CAC 4.9
saig06||142.244.190.192||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
scotts-imac||142.244.190.193||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
PAUL||142.244.190.194||NAS|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|WORKGROUP\PAUL 4.9
obelix2||142.244.190.195||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
abmi00190||142.244.190.197||Unknown|Physical|||| ||||||Active|||||Sci-Grad-Research|
PAUL||142.244.190.199||NAS|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|WORKGROUP\PAUL 4.9
142||142.244.190.200||Webserver|Physical|||| ||||||Active|||||Sci-Grad-Research|
MACPRO-05EEBA||142.244.190.208||NAS|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|WORKGROUP\MACPRO-05EEBA 4.9
pd3c07544ac9fc||142.244.190.209||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
gandalf||142.244.190.214||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
taylor-cadmium||142.244.190.216||Unknown|Physical|||| Microsoft-IIS/10.0||||||Active|||||Sci-Grad-Research|
NPI6CAC4D||142.244.190.219||Printer|Physical||||Hewlett-Packard HP LaserJet 400 colorMFP M475dw||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT:SN:CNC8DD61DR:FN:SF40VMT:SVCID:23029:PID:HP LaserJet 400 colorMFP M475dw
batiatus||142.244.190.220||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
crow|CCIS 2-085|142.244.190.222||Printer|Physical||||Brother Industries: Ltd. Brother DCP-8080DN||||||Active|||||Sci-Grad-Research|Brother NC-6800h: Firmware Ver.1.04  (09.05.08):MID 8C5-D11:FID 2
ET0021B7F2BE41||142.244.190.223||Printer|Physical||||Lexmark International Lexmark E260dn 72BCTDG LL.LBL.P429f||||||Active|||||Sci-Grad-Research|Lexmark E260dn version NR.APS.N449 kernel 2.6.18.5 All-N-1
NAS0DFD65||142.244.190.225||Linux|Physical|WORKGROUP||| Apache||||||Active|||||Sci-Grad-Research|
eric||142.244.190.226||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
142||142.244.190.228||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
work-5960||142.244.190.231||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
baynelab-hedwig||142.244.190.232||Webserver|Physical|||| ||||||Active|||||Sci-Grad-Research|
BS-WHISKEYJACK||142.244.190.233||Windows|Physical|BIO-SCI|||Dell Inc. ||||||Active|||||Sci-Grad-Research|
possum2||142.244.190.234||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
DELLBAA81C||142.244.190.235||Printer|Physical|WORKGROUP|||Dell Inc. Dell 2155cdn Color MFP; Net 16.15:ESS 201102181421:IOT 01.00.07||||||Active|||||Sci-Grad-Research|Dell 2155cdn Color MFP; Net 16.15: Controller 201102181421: Engine 01.00.07
WATERS-S4U38343||142.244.190.236||Windows|Physical|WORKGROUP|||Universal Global Scientific Industrial Co.:Ltd. ||||||Active|||||Sci-Grad-Research|
STARK-PC||142.244.190.237||NAS|Physical|WORKGROUP|||GIGA-BYTE TECHNOLOGY CO.:LTD. ||||||Active|||||Sci-Grad-Research|
STARK-PC||142.244.190.237||Windows|Physical|WORKGROUP|||GIGA-BYTE TECHNOLOGY CO.:LTD. ||||||Active|||||Sci-Grad-Research|
jamiembp||142.244.190.238||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
SAIG13||142.244.190.242||Linux|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|
kalpana-pc||142.244.190.243||Webserver|Physical|||| ||||||Active|||||Sci-Grad-Research|
saig05||142.244.190.244||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
142||142.244.190.245||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
abmi00190||142.244.190.246||NAS|Physical|||| ||||||Active|||||Sci-Grad-Research|
BIOLOGY-4TKH2TA||142.244.190.248||Windows|Physical|BIO-SCI|||Lenovo ThinkCentre M90p||||||Active|||||Sci-Grad-Research|
MACPRO-05EEBA||142.244.190.248||NAS|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|WORKGROUP\MACPRO-05EEBA 4.9
DERDA-QNAP||142.244.190.253||Linux|Physical|DERDA||| http server 1.0||||||Active|||||Sci-Grad-Research|
octowolf||142.244.190.254||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
142||142.244.190.35||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
NPIAA78A4|HP Color LaserJet CP2025dn|142.244.190.37||Printer|Physical||||Hewlett-Packard HP Color LaserJet CP2025dn||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT:SN:CNGS375119:FN:MB22ZV8:SVCID:21041:PID:HP Color LaserJet CP2025dn
NPI2C4597|Boise: ID: USA|142.244.190.38||Printer|Physical||||Hewlett-Packard HP LaserJet P2015 Series||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT:SN:CNBJN71428:FN:JK401FD:SVCID:17321:PID:HP LaserJet P2015 Series
NPICB8AB4||142.244.190.38||Printer|Physical||||Hewlett-Packard HP Jetdirect||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT:ROM M.21.07:JETDIRECT:JD89:EEPROM M.21.12
klassen-clj3505||142.244.190.39||Printer|Physical||||Hewlett-Packard HP Color LaserJet CP3505||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD102:EEPROM V.34.63:CIDATE 02/26/2007
klassenhpP3005dn|W4-53|142.244.190.40||Printer|Physical||||Hewlett-Packard HP LaserJet P3005||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD135:EEPROM V.33.59:CIDATE 09/30/2009
INFORMATICS||142.244.190.41||Windows|Physical|MSHOME|||Universal Global Scientific Industrial Co.: Ltd ||||||Active|||||Sci-Grad-Research|
MF210 Series||142.244.190.42||Printer|Physical||||CANON Inc. Canon MF210 Series||||||Active|||||Sci-Grad-Research|Canon MF210 Series /P
NPI40B7CD||142.244.190.46||Printer|Physical||||Hewlett-Packard HP LaserJet P2055dn||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD137:EEPROM V.37.12:CIDATE 02/07/2010
NPI34E6C1||142.244.190.49||Printer|Physical||||Hewlett-Packard HP LaserJet P2055dn||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD137:EEPROM V.37.12:CIDATE 07/12/2010
Taylor-Dell2330|CCIS 5-149|142.244.190.5||Printer|Physical||||Dell Inc. Dell 2330dn Laser Printer 721FPHB LL.LBM.P436||||||Active|||||Sci-Grad-Research|Dell 2330dn Laser Printer version NR.APS.N542 kernel 2.6.18.5 All-N-1
XRX0000f0ace31a|Z207|142.244.190.52||Router|Physical||||Xerox Xerox Phaser 6100DN||||||Active|||||Sci-Grad-Research|Xerox Phaser 6100DN;OS 1.07 04-11-2005 : NIC V1.05(P6100);SN REN368115.......
celerix||142.244.190.60||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
BIGBIRD||142.244.190.62||Linux|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|WORKGROUP\BIGBIRD 4.9
astronomix||142.244.190.63||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
PagePrint||142.244.190.64||Printer|Physical||||Hewlett-Packard HP Color LaserJet Pro M252dw||||||Active|||||Sci-Grad-Research|HP ETHERNET MULTI-ENVIRONMENT:SN:VNB3B92637:FN:1F920GT:SVCID:27274:PID:HP Color LaserJet Pro M252dw
matt-pro||142.244.190.65||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
gandalf||142.244.190.69||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
pd-ccdkrw1||142.244.190.70||Webserver|Physical|||| ||||||Active|||||Sci-Grad-Research|
matt-pro||142.244.190.71||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
GELDOC-CW444||142.244.190.73||Windows|Physical|BIO-SCI||| ||||||Active|||||Sci-Grad-Research|
saig06||142.244.190.73||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
snocameras-imac||142.244.190.74||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
bs-c5047-temp2||142.244.190.8||Webserver|Physical|||| ||||||Active|||||Sci-Grad-Research|
KALPANA||142.244.190.81||NAS|Physical|WORKGROUP||| Apache/2.4.18 (Ubuntu)||||||Active|||||Sci-Grad-Research|
saig06||142.244.190.82||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
142||142.244.190.83||Webserver|Physical|||| ||||||Active|||||Sci-Grad-Research|
XRX0000f0ace31a|Z207|142.244.190.85||Router|Physical||||Xerox Xerox Phaser 6100DN||||||Active|||||Sci-Grad-Research|Xerox Phaser 6100DN;OS 1.07 04-11-2005 : NIC V1.05(P6100);SN REN368115.......
DRASC||142.244.190.86||Linux|Physical|WORKGROUP||| Apache/2.4.7 (Ubuntu)||||||Active|||||Sci-Grad-Research|
alexander-pc||142.244.190.87||Webserver|Physical|||| ||||||Active|||||Sci-Grad-Research|
desktop-vn8lu3b||142.244.190.88||Webserver|Physical|||| Apache/2.4.18 (Ubuntu)||||||Active|||||Sci-Grad-Research|
alh-ccis||142.244.190.89||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
ventoux||142.244.190.94||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
ftcalc||142.244.190.99||Unknown|Physical|||| Microsoft-IIS/10.0||||||Active|||||Sci-Grad-Research|
snocameras-imac||142.244.191.104||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
ksingh||142.244.191.105||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
JBT440S||142.244.191.111||Linux|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|
localhost||142.244.191.113||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
SCREW||142.244.191.115||Linux|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|
ET00040032081D||142.244.191.117||Printer|Physical||||Lexmark International Lexmark X422 890CHCN GN1.AQ.P202||||||Active|||||Sci-Grad-Research|Lexmark X422 version NGN1.NM.N112 kernel 2.4.0-test6 All-N-1
SAIG13||142.244.191.118||Windows|Physical|WORKGROUP||| ||||||Active|||||Sci-Grad-Research|
gandalf||142.244.191.120||Linux|Physical|||| ||||||Active|||||Sci-Grad-Research|
